,cpi_all_items,industrial_production_index,stock_market_index,population_total,population_working_age,unemployment_rate,interest_rate_short_term,interest_rate_long_term,interest_rate_10y,interest_rate_2y,interest_rate_5y,interest_rate_3m,yield_curve_spread,corporate_bond_baa,corporate_bond_aaa,ted_spread,consumer_sentiment,capacity_utilization,gdp_real,gdp_nominal,household_consumption,capital_formation,government_spending,exports_volume,imports_volume,employment_level,building_permits,housing_starts,trade_balance,money_supply_broad,country
2006-03-31,199.7,98.3913,1294.8699951171875,298379912.0,192619900.0,4.733333333333333,4.454111111111112,4.57,4.57,4.6000000000000005,4.546666666666667,4.3933333333333335,-0.0275806451612903,6.306666666666668,5.390000000000001,0.3690322580645161,88.93333333333334,80.68316666666668,16353.835,13599.16,9100.153,2709.74,2580.086,1413.966,2204.784,143741.0,2118.0,1969.0,-62397.0,6769.3,usa
2006-06-30,201.8,99.0398,1270.199951171875,298379912.0,193179800.0,4.633333333333333,4.907582417582417,5.07,5.07,4.993333333333333,4.99,4.703333333333333,0.0747619047619047,6.736666666666667,5.8933333333333335,0.5136065573770492,83.8,80.76793333333333,16396.151,13753.424,9227.649,2709.252,2610.565,1459.767,2253.809,144353.0,1867.0,1802.0,-63800.0,6851.8,usa
2006-09-30,202.8,99.2246,1335.8499755859375,298379912.0,193582500.0,4.633333333333334,5.2453260869565215,4.8966666666666665,4.8966666666666665,4.93,4.843333333333334,4.906666666666666,-0.0355555555555555,6.593333333333334,5.68,0.5275806451612903,84.03333333333335,80.61863333333334,16420.738,13870.188,9353.772,2709.42,2630.28,1475.417,2298.702,144815.0,1655.0,1720.0,-65095.0,6952.4,usa
2006-12-31,203.1,100.1125,1418.300048828125,298379912.0,194096900.0,4.433333333333334,5.242934782608696,4.63,4.63,4.736666666666667,4.6000000000000005,4.903333333333333,-0.1069354838709677,6.28,5.386666666666667,0.4650819672131148,92.46666666666664,80.2667,16561.866,14039.56,9427.368,2675.406,2674.454,1531.531,2269.198,145970.0,1638.0,1649.0,-61882.0,7080.1,usa
2007-03-31,205.288,100.8952,1420.8599853515625,301231207.0,195158400.0,4.5,5.254555555555556,4.68,4.68,4.766666666666667,4.646666666666667,4.983333333333333,-0.0814516129032258,6.296666666666667,5.363333333333333,0.377258064516129,92.2,80.5114,16611.69,14215.651,9572.138,2664.295,2718.491,1577.991,2317.264,146320.0,1596.0,1495.0,-62183.0,7168.2,usa
2007-06-30,207.234,101.6547,1503.3499755859375,301231207.0,195657900.0,4.5,5.252417582417583,4.846666666666667,4.846666666666667,4.806666666666667,4.763333333333333,4.736666666666667,0.04234375,6.493333333333333,5.576666666666667,0.6277049180327868,86.89999999999999,80.93483333333334,16713.314,14402.082,9678.713,2699.217,2769.958,1622.764,2368.569,146063.0,1407.0,1448.0,-59997.0,7287.8,usa
2007-09-30,208.547,101.9428,1526.75,301231207.0,196060700.0,4.666666666666667,5.074347826086957,4.73,4.73,4.38,4.503333333333333,4.303333333333334,0.3476190476190476,6.63,5.753333333333334,1.1298387096774194,85.73333333333335,80.7002,16809.587,14564.117,9798.383,2685.969,2808.718,1685.71,2414.664,146244.0,1261.0,1183.0,-58158.0,7413.0,usa
2007-12-31,211.445,102.2764,1468.3599853515625,301231207.0,196413100.0,4.8,4.495652173913044,4.260000000000001,4.260000000000001,3.4766666666666666,3.786666666666666,3.39,0.7769354838709678,6.510000000000001,5.53,1.623606557377049,77.5,80.92099999999999,16915.191,14715.058,9937.14,2642.56,2865.057,1750.714,2480.413,146273.0,1149.0,1037.0,-58290.0,7483.9,usa
2008-03-31,213.448,101.4508,1322.699951171875,304093966.0,196370800.0,5.0,3.1814285714285715,3.6633333333333336,3.6633333333333336,2.023333333333333,2.7466666666666666,2.043333333333333,1.6359016393442625,6.75,5.456666666666667,1.211,72.89999999999999,80.86163333333333,16843.003,14706.538,10004.445,2563.701,2909.64,1813.321,2584.568,146086.0,967.0,1005.0,-60200.0,7670.0,usa
2008-06-30,217.463,99.8728,1280.0,304093966.0,196511100.0,5.333333333333333,2.0847252747252747,3.8866666666666663,3.8866666666666663,2.4233333333333333,3.16,1.6266666666666667,1.46515625,6.989999999999999,5.6000000000000005,1.1282539682539685,59.6,79.80239999999999,16943.291,14865.701,10129.869,2540.595,2971.642,1905.282,2681.686,145737.0,1180.0,1046.0,-60889.0,7743.9,usa
2008-09-30,218.877,93.5576,1166.3599853515625,304093966.0,196842700.0,6.0,1.9406521739130436,3.863333333333333,3.863333333333333,2.356666666666667,3.106666666666667,1.4933333333333332,1.5021875,7.206666666666667,5.653333333333333,1.4185714285714286,64.83333333333333,77.13456666666667,16854.295,14898.999,10159.078,2498.242,3029.032,1922.215,2709.569,145076.0,797.0,820.0,-60292.0,7872.4,usa
2008-12-31,211.398,90.6266,903.25,304093966.0,197425600.0,6.866666666666667,0.5053260869565218,3.2533333333333334,3.2533333333333334,1.2133333333333334,2.18,0.2966666666666667,2.0191935483870966,8.840000000000002,5.816666666666666,2.44672131147541,57.66666666666666,73.5965,16485.35,14608.209,9906.942,2307.915,3021.826,1700.304,2328.779,143369.0,554.0,560.0,-43967.0,8204.7,usa
2009-03-31,212.495,86.4689,797.8699951171875,306771529.0,197520500.0,8.266666666666667,0.1844444444444444,2.736666666666667,2.736666666666667,0.9066666666666668,1.7633333333333334,0.2133333333333333,1.8319672131147544,8.213333333333333,5.273333333333333,1.03,58.26666666666667,69.16106666666667,16298.262,14430.902,9814.969,2014.878,3022.047,1511.768,1932.761,140707.0,513.0,505.0,-30193.0,8386.4,usa
2009-06-30,214.79,84.6746,919.3200073242188,306771529.0,197602000.0,9.3,0.178021978021978,3.313333333333334,3.313333333333334,1.0133333333333334,2.2333333333333334,0.1733333333333333,2.303174603174603,7.983333333333334,5.513333333333333,0.6708196721311476,68.2,67.0458,16269.145,14381.236,9805.502,1863.65,3070.452,1521.093,1879.461,140009.0,601.0,585.0,-27152.0,8459.3,usa
2009-09-30,215.861,87.3821,1057.0799560546875,306771529.0,198372900.0,9.633333333333333,0.1543478260869565,3.516666666666667,3.516666666666667,1.0333333333333334,2.466666666666667,0.1566666666666666,2.4878125,6.66,5.266666666666667,0.2525396825396825,68.39999999999999,68.16886666666666,16326.281,14448.882,9939.406,1841.416,3092.058,1594.725,2018.722,138818.0,609.0,585.0,-35247.0,8461.6,usa
2009-12-31,217.347,88.2404,1115.0999755859375,306771529.0,198771500.0,9.933333333333334,0.1183695652173913,3.4599999999999995,3.4599999999999995,0.8733333333333334,2.3000000000000003,0.0566666666666666,2.586129032258065,6.326666666666667,5.2,0.2075409836065573,70.16666666666667,69.45943333333334,16502.754,14651.249,10004.996,1998.71,3120.796,1703.508,2176.763,138013.0,664.0,581.0,-39426.0,8512.2,usa
2010-03-31,217.353,90.1356,1169.4300537109375,309378227.0,198650100.0,9.833333333333334,0.1338888888888889,3.716666666666667,3.716666666666667,0.9166666666666666,2.4233333333333333,0.1066666666666666,2.8001639344262297,6.286666666666666,5.293333333333333,0.1470491803278688,73.86666666666666,71.18923333333333,16582.71,14764.61,10101.822,2038.161,3133.819,1759.877,2269.069,138751.0,687.0,636.0,-40271.0,8523.5,usa
2010-06-30,217.199,91.9033,1030.7099609375,309378227.0,198928700.0,9.633333333333333,0.1919780219780219,3.49,3.49,0.87,2.2533333333333334,0.1466666666666666,2.619375,6.176666666666667,5.043333333333333,0.2919672131147541,73.93333333333334,73.05239999999999,16743.162,14980.193,10208.145,2148.795,3165.768,1819.741,2362.255,139141.0,587.0,536.0,-47316.0,8628.1,usa
